x,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mND10,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9,mHFD10
OTU52,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
OTU53,18,14,42,16,32,89,28,12,35,14,0,0,0,0,0,0,0,2,0,0
OTU54,4,18,0,1,3,18,0,29,1,1,0,0,0,0,1,0,3,87,6,29
OTU55,14,0,91,5,137,6,12,3,4,110,0,0,0,0,0,0,3,0,0,0
OTU56,6,19,8,10,11,67,36,38,30,26,0,0,0,0,0,0,0,0,0,0
OTU57,9,9,60,17,6,0,36,91,62,31,0,0,0,0,0,0,0,0,0,0
OTU58,1,0,6,8,43,20,2,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU59,0,0,7,2,53,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0
OTU6,893,276,702,42,684,151,297,380,707,1331,3,0,6,0,0,0,0,2,0,2
OTU60,55,9,36,4,13,0,98,4,5,30,0,0,0,0,0,0,0,0,0,0
OTU61,0,2,0,2,3,0,1,4,5,0,5,9,17,29,7,41,12,8,4,7
OTU62,203,44,0,26,128,105,4,28,28,119,0,0,0,0,0,0,0,0,0,0
OTU63,51,24,0,3,2,0,1,20,26,169,36,0,20,6,0,32,1,2,2,26
OTU64,7,2,2,2,2,16,2,5,15,5,1,1,4,6,1,1,12,20,4,14
OTU65,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU66,8,23,0,10,78,37,6,11,14,13,14,140,22,3,3,111,50,11,51,40
OTU67,3,4,1,5,1,7,0,5,9,1,72,58,57,33,57,70,63,91,13,37
OTU68,0,0,0,0,0,0,0,0,0,0,8,5,3,15,6,56,23,1,8,78
OTU69,1,8,0,0,0,13,11,6,0,0,243,38,19,33,22,58,13,37,2,6
OTU7,0,0,2,0,1,0,0,1,1,0,111,1,0,33,7,0,7,10,83,653
OTU70,9,32,11,12,17,28,10,25,10,14,18,6,7,0,6,3,42,37,8,27
OTU71,0,0,0,2,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
OTU72,1,20,7,9,7,8,3,18,12,4,0,30,1,0,10,0,40,33,14,36
OTU73,23,0,53,0,47,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU74,0,0,0,0,0,0,0,0,0,0,10,3,18,7,4,5,3,12,5,12
OTU75,17,31,6,7,13,22,10,29,37,8,13,10,5,11,14,14,16,19,3,13
OTU76,0,0,0,1,0,0,0,0,0,0,4,9,0,3,9,34,2,0,0,7
OTU77,2,13,0,17,1,5,2,5,4,0,43,24,13,19,28,42,32,13,11,4
OTU78,6,1,13,2,0,3,8,5,1,1,0,0,0,4,0,0,0,3,0,1
OTU79,6,28,0,22,1,13,30,29,30,1,0,0,0,0,0,2,0,0,0,0
OTU8,0,0,0,5,3,0,0,0,0,188,0,0,2,0,1,0,179,470,679,138
OTU80,2,0,0,1,0,5,0,1,3,0,5,11,3,9,3,20,7,5,11,10
OTU81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0
OTU82,0,1,6,9,0,2,3,5,1,1,1,1,0,2,4,5,2,6,0,5
OTU83,0,6,1,0,0,3,0,4,5,0,4,3,2,0,5,3,18,25,5,2
OTU84,12,20,32,3,3,1,101,12,28,44,7,0,37,0,1,10,18,4,15,15
OTU85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1,3
OTU86,29,29,4,76,73,21,11,21,36,24,0,2,3,0,6,2,6,11,4,3
OTU87,2,4,1,4,0,20,1,6,16,2,0,0,0,0,0,0,0,0,0,0
OTU88,1,0,0,11,0,0,34,9,0,0,0,0,0,0,0,0,0,0,0,0
OTU89,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,34,37,0,0
OTU9,20,138,848,512,90,251,263,67,228,278,0,0,0,0,0,0,0,0,0,0
OTU90,4,5,1,8,3,3,2,10,10,1,11,37,3,0,34,15,40,20,26,34
OTU91,0,0,0,0,0,0,0,1,0,0,11,4,1,13,0,2,0,3,8,7
OTU92,0,79,0,0,0,1,0,5,1,0,2,0,0,4,4,1,22,7,3,49
OTU93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,19,1,11
OTU94,0,0,0,5,0,0,0,11,1,0,0,0,0,3,2,1,0,0,0,3
