name,log2FC,pvalue,Status
peak59170,-1.164156372,0.108605194,Stable
peak5562,-1.163232724,0.043762357,Loss
peak31633,-1.162633405,0.0646088,Stable
peak8296,-1.162478763,0.010251154,Loss
peak36377,-1.161845342,0.076370949,Stable
peak57294,-1.161512732,0.115846769,Stable
peak69454,-1.1614133,0.0874275,Stable
peak63434,-1.16125622,0.021895517,Loss
peak18960,-1.160760686,0.00713684,Loss
peak46546,-1.160605396,0.112461099,Stable
peak9327,-1.160334726,0.048367271,Loss
peak42223,-1.160168534,0.120179143,Stable
peak15376,-1.160100643,0.03139562,Loss
peak19231,-1.160029897,0.079175429,Stable
peak12575,-1.159469633,0.002487736,Loss
peak70089,-1.159283012,0.028980762,Loss
peak10134,-1.158857423,0.048773752,Loss
peak31827,-1.158677631,0.055682178,Stable
peak57063,-1.158380128,0.004231341,Loss
peak37374,-1.158216218,0.00995228,Loss
peak20615,-1.156886933,0.05351743,Stable
peak20471,-1.155729014,0.056193648,Stable
peak36683,-1.155575962,0.004609216,Loss
peak66354,-1.154927154,0.052050695,Stable
peak17250,-1.154562178,0.005620923,Loss
peak73278,-1.154147898,0.082954185,Stable
peak37276,-1.154051839,0.018778299,Loss
peak71022,-1.15378936,0.007903879,Loss
peak22736,-1.153501798,0.07170475,Stable
peak22957,-1.153324754,0.041886974,Loss
peak11809,-1.153290592,0.114795829,Stable
peak36553,-1.152996051,0.065886113,Stable
peak19006,-1.152954913,0.027445854,Loss
peak68526,-1.152144296,0.042251396,Loss
peak67739,-1.151815925,0.028612041,Loss
peak35549,-1.151159101,0.072218173,Stable
peak7159,-1.151061028,0.105459989,Stable
peak71044,-1.150258343,0.014626074,Loss
peak25273,-1.150025257,0.002352673,Loss
peak66342,-1.149959745,0.025000625,Loss
peak39440,-1.149819945,0.117848339,Stable
peak47409,-1.149402528,0.067131335,Stable
peak17627,-1.149260397,0.036989343,Loss
peak12831,-1.149230997,0.072117867,Stable
peak72038,-1.149083262,0.066086908,Stable
peak52903,-1.148926662,0.067868183,Stable
peak8887,-1.148882233,0.039039517,Loss
peak35387,-1.14887082,0.040432588,Loss
peak74208,-1.148419417,0.093501076,Stable
peak7399,-1.147742549,0.059803336,Stable
peak38528,-1.147268652,0.020905494,Loss
peak70685,-1.147168007,0.097216781,Stable
peak72041,-1.147168007,0.097216781,Stable
peak13783,-1.146781304,0.003551856,Loss
peak13008,-1.146563537,0.074657999,Stable
peak73796,-1.146443604,0.011081019,Loss
peak33555,-1.146279035,0.062315808,Stable
peak73122,-1.146168618,0.024842403,Loss
peak46528,-1.145965659,0.034658957,Loss
peak45803,-1.145800398,0.065948455,Stable
peak75207,-1.145711746,0.038559567,Loss
peak70990,-1.145173627,0.01380042,Loss
