x,norm_foldChange,logFC,pvalue,pvalue.adj.FDR,State
Kcp,0.815200969,-0.294772328,0.051357974,0.104814137,NA
Gm10138,0.815183975,-0.294802403,0.042143263,0.087516064,NA
Gm11423,0.815150428,-0.294861776,0.028663241,0.061534747,NA
Pde1c,0.814983389,-0.295157441,0.96878431,0.999994095,NA
4833422C13Rik,0.814983389,-0.295157441,0.933961106,0.999994095,NA
Igsf1,0.814983389,-0.295157441,0.822284221,0.964998213,NA
Slc8a2,0.814983389,-0.295157441,0.752855474,0.930172194,NA
Slc1a5,0.814983389,-0.295157441,0.453094906,0.684312371,NA
Ppp1r13l,0.814983389,-0.295157441,0.406530805,0.626128339,NA
Ercc2,0.814793902,-0.295492912,0.340680815,0.540444898,NA
Lcor,0.814635996,-0.295772531,0.035413418,0.074844896,NA
Rps6ka5,0.814559139,-0.295908649,0.096722779,0.184795249,NA
Ptpdc1,0.814405796,-0.296180266,0.329524681,0.532265636,NA
Pex12,0.814288603,-0.296387884,0.02357539,0.051532417,NA
Gdap2,0.814179922,-0.296580451,0.074504883,0.147179509,NA
Dusp5,0.814078857,-0.296759545,0.121371601,0.225207768,NA
Rcor2,0.814039271,-0.2968297,0.339618362,0.53901881,NA
9130221H12Rik,0.8138685,-0.297132383,0.354586374,0.558384624,NA
Slc16a4,0.813780588,-0.297288228,0.041356593,0.08606313,NA
Whamm,0.813669176,-0.297485757,0.031692117,0.067535651,NA
Gm4950,0.813530655,-0.297731384,0.798495327,0.964998213,NA
Zfp791,0.813530655,-0.297731384,0.452108632,0.683005433,NA
A330041J22Rik,0.813530655,-0.297731384,0.246347333,0.411904567,NA
Timmdc1,0.813445948,-0.29788161,0.030516298,0.06524083,NA
Gm16499.1,0.813226418,-0.298271012,0.798821833,0.964998213,NA
Hhat,0.813162875,-0.298383745,0.392815456,0.609034826,NA
Il18,0.813162875,-0.298383745,0.191608373,0.336147289,NA
Lipg,0.813119989,-0.298459834,0.504274828,0.730382534,NA
Elk3,0.813065781,-0.298556017,0.147263067,0.268370152,NA
Gnb3,0.812899032,-0.298851924,0.511107831,0.738495005,NA
Zswim1,0.812858871,-0.298923202,0.105124794,0.19919336,NA
Pxylp1,0.812813256,-0.299004164,0.157648856,0.284908612,NA
Cdc45,0.812545751,-0.299479047,0.35506848,0.559054813,NA
Pcx,0.812347166,-0.299831683,0.045075549,0.093019457,NA
Zfp141,0.812341016,-0.299842606,0.044424926,0.091820488,NA
Olfr1033,0.812163377,-0.300158122,0.64684735,0.841837781,NA
Atp8b5,0.811960133,-0.300519202,0.523753715,0.753410122,NA
Sgsh,0.811912011,-0.300604708,0.361503345,0.567740487,NA
Cacnb1,0.811870389,-0.300678669,0.333303671,0.537384936,NA
Grid1,0.811834033,-0.300743275,0.380634664,0.593311395,NA
Itga11,0.811685915,-0.301006516,0.595519135,0.81301308,NA
4931414P19Rik,0.811685915,-0.301006516,0.593956159,0.811495319,NA
Mcm5,0.811553113,-0.301242579,0.07281935,0.144065645,NA
Nr3c2,0.811526885,-0.301289204,0.637248531,0.836475803,NA
Pygm,0.811509461,-0.30132018,0.04358919,0.090225108,NA
Ocel1,0.811459944,-0.301408214,0.11166478,0.21021628,NA
Slc9a5,0.811295681,-0.301700287,0.982450869,0.999994095,NA
Mcf2,0.811295681,-0.301700287,0.948164483,0.999994095,NA
4933430I17Rik,0.811295681,-0.301700287,0.927037453,0.999994095,NA
4833412C05Rik,0.811295681,-0.301700287,0.896458483,0.999759934,NA
Fam78a,0.811295681,-0.301700287,0.721053546,0.904666788,NA
Gpsm1,0.811295681,-0.301700287,0.071317487,0.14136298,NA
Lmo1,0.810928745,-0.302352942,0.390480788,0.606032555,NA
Cenpi,0.810800687,-0.302580784,0.420202058,0.643626566,NA
Rab43,0.810753371,-0.302664977,0.463574949,0.692406868,NA
